dataset_id,fold,checkpoint,sparsity,features,features_added,accuracy,roc_auc_score,prediction_probas,ground_truth
41157,0,wide-v2-5k-nocat,0.5,10000,0,0.8,0.8282828282828283,[0.82285434 0.17714565] [0.8911677  0.10883233] [0.8879121  0.11208791] [0.20810448 0.7918955 ] [0.5859375 0.4140625] [0.34570312 0.6542969 ] [0.10742188 0.8925781 ] [0.390625 0.609375] [0.8389696 0.1610304] [0.5913086 0.4086914] [0.620454   0.37954602] [0.6464844  0.35351562] [0.41908714 0.5809129 ] [0.51135534 0.4886447 ] [0.6743164 0.3256836] [0.89697266 0.10302734] [0.8095703  0.19042969] [0.7837871  0.21621291] [0.85009766 0.14990234] [0.7721612  0.22783883],0 0 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 1 0
41157,1,wide-v2-5k-nocat,0.5,10000,0,0.95,0.9595959595959596,[0.2962149 0.7037851] [0.8712001 0.1287999] [0.18388279 0.8161172 ] [0.61117893 0.3888211 ] [0.8588867  0.14111328] [0.36538932 0.6346107 ] [0.2722833  0.72771674] [0.6272883  0.37271175] [0.6791992  0.32080078] [0.70996094 0.29003906] [0.15098254 0.84901744] [0.2890625 0.7109375] [0.8203125 0.1796875] [0.25164756 0.74835247] [0.8272494  0.17275058] [0.36978278 0.63021725] [0.7734375 0.2265625] [0.32226562 0.6777344 ] [0.6311936  0.36880645] [0.38085938 0.6191406 ],0 0 1 0 0 1 1 0 0 0 1 1 0 1 0 1 0 1 0 1
41157,2,wide-v2-5k-nocat,0.5,10000,0,0.9,0.9898989898989898,[0.83154297 0.16845703] [0.2291921 0.7708079] [0.5205078 0.4794922] [0.41796875 0.58203125] [0.814652   0.18534799] [0.9190014 0.0809986] [0.8414113  0.15858869] [0.88579625 0.11420375] [0.45751953 0.54248047] [0.74871796 0.25128207] [0.6230469  0.37695312] [0.609375 0.390625] [0.33137974 0.6686203 ] [0.45214844 0.54785156] [0.91682434 0.08317569] [0.8950742  0.10492584] [0.3251953 0.6748047] [0.2993164 0.7006836] [0.51428574 0.4857143 ] [0.7132048  0.28679523],0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 1 1 1 0
41157,3,wide-v2-5k-nocat,0.5,10000,0,0.9,0.9595959595959596,[0.6118164 0.3881836] [0.63412255 0.36587748] [0.51220703 0.48779297] [0.20693444 0.79306555] [0.8099597  0.19004028] [0.36117217 0.63882786] [0.18261719 0.8173828 ] [0.63378906 0.36621094] [0.32617188 0.6738281 ] [0.68896484 0.31103516] [0.7894544  0.21054558] [0.3076172 0.6923828] [0.55064684 0.4493532 ] [0.7236328 0.2763672] [0.1956044 0.8043956] [0.82285434 0.17714565] [0.8919265  0.10807347] [0.29541016 0.70458984] [0.25274727 0.74725276] [0.36083984 0.63916016],0 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 1 1 1
41157,4,wide-v2-5k-nocat,0.5,10000,0,0.75,0.8541666666666667,[0.27001953 0.72998047] [0.3566024 0.6433976] [0.7876938  0.21230619] [0.8519468  0.14805321] [0.3227539 0.6772461] [0.61684984 0.3831502 ] [0.75741667 0.24258332] [0.29638672 0.7036133 ] [0.90472996 0.09527007] [0.26123047 0.73876953] [0.72753906 0.27246094] [0.62158203 0.37841797] [0.9279043  0.07209572] [0.21377121 0.7862288 ] [0.44384766 0.55615234] [0.23828125 0.76171875] [0.83115613 0.16884385] [0.820901   0.17909901] [0.17763399 0.822366  ] [0.5571289 0.4428711],1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1
41157,0,wide-v2-5k-nocat,0.5,20000,20000,0.5,0.7171717171717171,[0.49365234 0.50634766] [0.71777344 0.28222656] [0.7032967 0.2967033] [0.40820312 0.5917969 ] [0.47545788 0.52454215] [0.40527344 0.59472656] [0.38134766 0.61865234] [0.40444228 0.59555775] [0.6660156  0.33398438] [0.43980464 0.5601954 ] [0.61083984 0.38916016] [0.63964844 0.36035156] [0.41636142 0.5836386 ] [0.4935287  0.50647134] [0.6489258  0.35107422] [0.4910867  0.50891334] [0.50989014 0.4901099 ] [0.49169922 0.5083008 ] [0.6564103  0.34358975] [0.6975836 0.3024164],0 0 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 1 0
41157,1,wide-v2-5k-nocat,0.5,20000,20000,0.75,0.7676767676767677,[0.4866911  0.51330894] [0.59521484 0.40478516] [0.4886447  0.51135534] [0.55810547 0.44189453] [0.51086694 0.4891331 ] [0.57958984 0.42041016] [0.47216797 0.52783203] [0.4609375 0.5390625] [0.48291016 0.51708984] [0.484375 0.515625] [0.46666667 0.53333336] [0.4847375  0.51526254] [0.60580915 0.39419088] [0.47252747 0.52747256] [0.57993656 0.42006347] [0.47155067 0.52844936] [0.57128906 0.42871094] [0.4949939  0.50500613] [0.5821734  0.41782662] [0.46972656 0.53027344],0 0 1 0 0 1 1 0 0 0 1 1 0 1 0 1 0 1 0 1
41157,2,wide-v2-5k-nocat,0.5,20000,20000,0.75,0.7525252525252525,[0.4940171  0.50598294] [0.4482422 0.5517578] [0.52405375 0.47594628] [0.43177935 0.5682207 ] [0.5763126  0.42368743] [0.52258855 0.47741148] [0.6333008  0.36669922] [0.5982906 0.4017094] [0.4506836 0.5493164] [0.5882353 0.4117647] [0.44984135 0.5501587 ] [0.5992674 0.4007326] [0.4975586 0.5024414] [0.5616606  0.43833944] [0.62271065 0.37728938] [0.5855922  0.41440782] [0.48046875 0.51953125] [0.43470833 0.5652917 ] [0.62271065 0.37728938] [0.6376953 0.3623047],0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 1 1 1 0
41157,3,wide-v2-5k-nocat,0.5,20000,20000,0.9,0.9292929292929293,[0.5078125 0.4921875] [0.5161133  0.48388672] [0.51220703 0.48779297] [0.4814453 0.5185547] [0.60009766 0.39990234] [0.56577986 0.43422017] [0.4981694  0.50183064] [0.566268 0.433732] [0.4946289 0.5053711] [0.5683594  0.43164062] [0.5410156  0.45898438] [0.49365234 0.50634766] [0.4998779  0.50012213] [0.57470703 0.42529297] [0.47252747 0.52747256] [0.5821734  0.41782662] [0.62173384 0.3782662 ] [0.47705078 0.5229492 ] [0.48278388 0.51721615] [0.4886447  0.51135534],0 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 1 1 1
41157,4,wide-v2-5k-nocat,0.5,20000,20000,0.75,0.6458333333333334,[0.4210398  0.57896024] [0.39208984 0.60791016] [0.51171875 0.48828125] [0.66845703 0.33154297] [0.403663 0.596337] [0.46471307 0.53528696] [0.5722656  0.42773438] [0.38916016 0.61083984] [0.62564105 0.37435898] [0.47643468 0.52356535] [0.6147461 0.3852539] [0.51086694 0.4891331 ] [0.68537956 0.31462047] [0.41733822 0.5826618 ] [0.39892578 0.6010742 ] [0.45374665 0.5462534 ] [0.54589844 0.45410156] [0.60058594 0.39941406] [0.44189453 0.55810547] [0.48242188 0.5175781 ],1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1
