dataset_id,fold,checkpoint,sparsity,features,features_added,accuracy,roc_auc_score,prediction_probas,ground_truth
41157,0,xgboost,0.02,10000,0,0.7,0.7474747474747475,[0.48244047 0.5175595 ] [0.98313123 0.01686878] [0.90264094 0.09735909] [0.06483871 0.9351613 ] [0.879668   0.12033198] [0.09921241 0.9007876 ] [0.07873297 0.92126703] [0.11359555 0.88640445] [0.98324144 0.01675856] [0.7420641  0.25793585] [0.8731484  0.12685163] [0.9767174  0.02328257] [0.03826052 0.9617395 ] [0.03842014 0.96157986] [0.7971414  0.20285864] [0.9754073  0.02459267] [0.95007706 0.04992296] [0.6389096 0.3610904] [0.75325376 0.24674626] [0.9660875  0.03391246],0 0 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 1 0
41157,1,xgboost,0.02,10000,0,0.85,0.8989898989898989,[0.38447607 0.61552393] [0.83975375 0.16024622] [0.08034503 0.91965497] [0.6155945  0.38440552] [0.67844826 0.32155174] [0.31080163 0.6891984 ] [0.5293219  0.47067812] [0.90874034 0.09125968] [0.05489409 0.9451059 ] [0.8667527 0.1332473] [0.02742368 0.9725763 ] [0.14461231 0.8553877 ] [0.93842757 0.06157241] [0.10787803 0.892122  ] [0.9225743  0.07742574] [0.43006498 0.569935  ] [0.820459   0.17954099] [0.25088108 0.7491189 ] [0.82347566 0.17652436] [0.2298162 0.7701838],0 0 1 0 0 1 1 0 0 0 1 1 0 1 0 1 0 1 0 1
41157,2,xgboost,0.02,10000,0,0.75,0.898989898989899,[0.64213264 0.35786736] [0.3215884 0.6784116] [0.73799187 0.26200813] [0.31184977 0.6881502 ] [0.884163   0.11583695] [0.8845018  0.11549821] [0.9315543  0.06844565] [0.86338806 0.13661197] [0.1735698 0.8264302] [0.9696644  0.03033562] [0.35479045 0.64520955] [0.55292046 0.4470795 ] [0.42633796 0.57366204] [0.6853316  0.31466845] [0.9625569  0.03744308] [0.92079926 0.07920072] [0.4617579 0.5382421] [0.7692177 0.2307823] [0.7338849  0.26611513] [0.906596 0.093404],0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 1 1 1 0
41157,3,xgboost,0.02,10000,0,0.8,0.8282828282828283,[0.7238654  0.27613464] [0.10002041 0.8999796 ] [0.20468974 0.79531026] [0.32311994 0.67688006] [0.8955435  0.10445651] [0.2951612 0.7048388] [0.12832063 0.87167937] [0.6845822  0.31541783] [0.95046794 0.04953204] [0.9674153  0.03258474] [0.9884192  0.01158085] [0.07846516 0.92153484] [0.28624356 0.71375644] [0.94846624 0.05153375] [0.36995804 0.63004196] [0.98168856 0.01831143] [0.92114973 0.07885024] [0.2598037 0.7401963] [0.8100914 0.1899086] [0.5144977 0.4855023],0 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 1 1 1
41157,4,xgboost,0.02,10000,0,0.8,0.75,[0.05876416 0.94123584] [0.02685571 0.9731443 ] [0.93823075 0.06176927] [0.94914645 0.05085353] [0.0468629 0.9531371] [0.4143713 0.5856287] [0.9644822 0.0355178] [0.81952465 0.18047538] [0.87849754 0.12150248] [0.8810371  0.11896288] [0.9805002  0.01949976] [0.5369673  0.46303272] [0.7996364  0.20036359] [0.04658288 0.9534171 ] [0.9430792 0.0569208] [0.05812746 0.94187254] [0.6345422 0.3654578] [0.9053329  0.09466709] [0.03268564 0.96731436] [0.49485964 0.50514036],1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1
41157,0,xgboost,0.02,20000,20000,0.55,0.4949494949494949,[0.5217231 0.4782769] [0.9663191  0.03368093] [0.9508866  0.04911342] [0.5695081 0.4304919] [0.12729448 0.8727055 ] [0.2012999 0.7987001] [0.91093147 0.08906852] [0.15682459 0.8431754 ] [0.9163713  0.08362874] [0.27886033 0.72113967] [0.9925     0.00750002] [0.42816055 0.57183945] [0.42127913 0.57872087] [0.47772372 0.5222763 ] [0.5781137  0.42188632] [0.1598137 0.8401863] [0.54998225 0.45001775] [0.52059233 0.47940767] [0.9606823  0.03931773] [0.98029655 0.01970346],0 0 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 1 0
41157,1,xgboost,0.02,20000,20000,0.6,0.7171717171717171,[0.27934146 0.72065854] [0.81120205 0.18879792] [0.43022442 0.5697756 ] [0.7661886  0.23381135] [0.8172799  0.18272014] [0.51015604 0.489844  ] [0.9286013  0.07139868] [0.11470354 0.88529646] [0.5934768 0.4065232] [0.0523544 0.9476456] [0.5212886  0.47871143] [0.03786266 0.96213734] [0.97033656 0.02966342] [0.59599745 0.40400258] [0.9858276  0.01417235] [0.26838607 0.73161393] [0.9519135  0.04808652] [0.15925932 0.8407407 ] [0.9792625 0.0207375] [0.6836437  0.31635633],0 0 1 0 0 1 1 0 0 0 1 1 0 1 0 1 0 1 0 1
41157,2,xgboost,0.02,20000,20000,0.6,0.6868686868686869,[0.9277582  0.07224178] [0.31148762 0.6885124 ] [0.12646711 0.8735329 ] [0.47412866 0.52587134] [0.9580304  0.04196962] [0.6487504 0.3512496] [0.97822165 0.02177833] [0.97037023 0.02962979] [0.75818264 0.24181733] [0.9099904  0.09000961] [0.09343588 0.9065641 ] [0.8964859 0.1035141] [0.92212224 0.07787775] [0.8178474  0.18215263] [0.87680155 0.12319846] [0.80348194 0.19651806] [0.6847883 0.3152117] [0.18461215 0.81538785] [0.8048968  0.19510324] [0.9899521  0.01004789],0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 1 1 1 0
41157,3,xgboost,0.02,20000,20000,0.6,0.6767676767676768,[0.6609031  0.33909693] [0.27799845 0.72200155] [0.3865034 0.6134966] [0.46766102 0.532339  ] [0.91973567 0.08026434] [0.76163334 0.23836668] [0.07110298 0.928897  ] [0.21003526 0.78996474] [0.53873014 0.4612699 ] [0.8172854  0.18271461] [0.75867236 0.24132767] [0.7141556 0.2858444] [0.6036389  0.39636108] [0.9555602  0.04443981] [0.83481044 0.16518956] [0.98157114 0.01842884] [0.96854013 0.03145988] [0.13609254 0.86390746] [0.01830065 0.98169935] [0.9150512  0.08494877],0 0 0 1 0 1 1 0 0 0 0 1 1 0 1 0 0 1 1 1
41157,4,xgboost,0.02,20000,20000,0.55,0.5729166666666666,[0.11260009 0.8873999 ] [0.30290073 0.69709927] [0.9129846  0.08701541] [0.7824638 0.2175362] [0.24075294 0.75924706] [0.07090122 0.9290988 ] [0.8093647  0.19063535] [0.15852928 0.8414707 ] [0.8911875 0.1088125] [0.91050655 0.08949345] [0.76023924 0.23976077] [0.70096064 0.29903936] [0.86980784 0.13019213] [0.8329346  0.16706537] [0.15957868 0.8404213 ] [0.7449988  0.25500122] [0.8165159 0.1834841] [0.9626867  0.03731328] [0.48923814 0.51076186] [0.55946314 0.4405369 ],1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1
41157,0,xgboost,0.02,30000,30000,0.4,0.43434343434343436,[0.8702553 0.1297447] [0.97197104 0.02802895] [0.97203135 0.02796866] [0.80677134 0.19322868] [0.02840459 0.9715954 ] [0.6954733  0.30452666] [0.22587276 0.77412724] [0.15849584 0.84150416] [0.95117104 0.04882894] [0.1454696 0.8545304] [0.87541014 0.12458984] [0.9123699  0.08763012] [0.7695172 0.2304828] [0.47032946 0.52967054] [0.9023484  0.09765159] [0.41301638 0.5869836 ] [0.15062058 0.8493794 ] [0.6845577  0.31544235] [0.9505639  0.04943611] [0.8609849 0.1390151],0 0 0 1 0 1 1 1 0 0 1 1 1 0 1 0 0 0 1 0
41157,1,xgboost,0.02,30000,30000,0.75,0.8181818181818181,[0.15259671 0.8474033 ] [0.91301554 0.08698444] [0.2495178 0.7504822] [0.92658424 0.07341577] [0.5398207  0.46017933] [0.1688078 0.8311922] [0.30161053 0.6983895 ] [0.14803487 0.8519651 ] [0.42206353 0.5779365 ] [0.71250606 0.2874939 ] [0.05230111 0.9476989 ] [0.3079219 0.6920781] [0.96199554 0.03800445] [0.44536316 0.55463684] [0.33546096 0.66453904] [0.31194037 0.6880596 ] [0.9610166  0.03898343] [0.3230707 0.6769293] [0.4802354 0.5197646] [0.29170465 0.70829535],0 0 1 0 0 1 1 0 0 0 1 1 0 1 0 1 0 1 0 1
41157,2,xgboost,0.02,30000,30000,0.65,0.6565656565656566,[0.747052 0.252948] [0.74757135 0.25242865] [0.6894944  0.31050566] [0.05457902 0.945421  ] [0.79431516 0.20568484] [0.21718532 0.7828147 ] [0.9811453  0.01885468] [0.9303569  0.06964307] [0.10021037 0.89978963] [0.87987113 0.12012886] [0.22959381 0.7704062 ] [0.7965605  0.20343946] [0.5703595  0.42964047] [0.9759929  0.02400705] [0.9749772  0.02502279] [0.90380806 0.09619193] [0.38769078 0.6123092 ] [0.24629217 0.7537078 ] [0.9473034  0.05269662] [0.8745155  0.12548453],0 1 0 1 0 0 0 0 1 0 0 1 1 1 0 0 1 1 1 0
